 Stock Code ,Stock location,,
,,,
 G3536 Navy ,1GR42,,
 G3536 Red ,1GR42,,
 G3536 Royal ,1GR42 Torrent Excursion Bag,,
 G3543 Black ,1GN32 Dawson Swim Bag,,
 G3543 Bottle Green ,1GN32 Dawson Swim Bag,,
 G3543 Maroon ,1GN32 Dawson Swim Bag,,
 G3543 Navy ,1GN32 Dawson Swim Bag,,
 G3543 Red ,1GN32 Dawson Swim Bag,,
 G3543 Royal ,1GN32 Dawson Swim Bag,,
 G3620 Maroon ,1GI52 Casual Back Pack,,
 G3620 Navy ,1GI32 Casual Back Pack,,
 G3620 Royal ,1GI42 Casual Back Pack,,
 G3620 Yellow ,1GI32/42 Casual Back Pack,,
 G3630 Black/Grey ,1GN12 Duplex,,
 G3630 Navy/Grey ,1GN22 Duplex,,
 G3750 Black ,1GJ31 Back Sack,,
 G3750 Hot Pink ,1GJ21 Back Sack,,
 G3750 Lime ,1GJ41 Back Sack,,
 G3750 Navy ,1GJ21 Back Sack,,
 G3750 Orange ,1GJ31 Back Sack,,
 G3750 Purple ,1GJ41 Back Sack,,
 G3750 Red ,1GJ31 Back Sack,,
 G3750 Royal ,1GJ21 Back Sack,,
 G3750 Yellow ,1GJ41 Back Sack,,
 G3755 Black/Orange/Silver ,1GJ12 Alpine Tote Bag-See Notes,,
 G3755 Black/Red/Silver ,1GJ12 Alpine Tote Bag-See Notes,,
 G3776 Black ,1GS12 Family Cooler Bag,,
 G3776 Navy ,1GS32 Family Cooler Bag,,
 G3776 Royal ,1GS22  Family Cooler Bag,,
 G3815 Black ,1GT51 Conference Backpack,,
 G3840 Black ,1GW41 Enrico 2 bottle cooler,,
 G3841 Black ,1GK51 Single Bottle wine coole,,
 G3841 Navy ,1GK51 Single Bottle Holder,,
 G3842 Black ,1GT42 Twin Bottle Holder,,
 G3842 Navy ,1GT42 Twin Bottle Holder,,
 G3887 Black ,1GS51 Laptop Conference Bag,,
 G3999 Black ,1GJ51 Non-woven Shopping Bag,,
 G3999 Bottle ,1GJ51 Non-woven Shopping Bag,,
 G3999 Navy ,1GJ51 Non-woven Shopping Bag,,
